CategoryCode,ItemCode,Week,WeekID,DiscountValue,DiscountedPrice,SellingPrice,OnPromotion,WeeklySales
category_1,3418,w1,1,,,,0.0,45
category_1,3418,w2,2,,,,0.0,50
category_1,3418,w3,3,,,,0.0,49
category_1,3418,w4,4,,,,0.0,38
category_1,3418,w1,5,,,,0.0,53
category_1,3418,w2,6,,,,0.0,38
category_1,3418,w3,7,,,,0.0,50
category_1,3418,w4,8,,,,0.0,47
category_1,3418,w1,9,,,,0.0,58
category_1,3418,w2,10,,,,0.0,88
category_1,3418,w3,11,,,,0.0,98
category_1,3418,w4,12,,,,0.0,61
category_1,3418,w1,13,,,,0.0,65
category_1,3418,w2,14,,,,0.0,80
category_1,3418,w3,15,,,,0.0,82
category_1,3418,w4,16,,,,0.0,75
category_1,3418,w1,17,,,,0.0,82
category_1,3418,w2,18,,,,0.0,103
category_1,3418,w3,19,,,,0.0,82
category_1,3418,w4,20,,,,0.0,45
category_1,3427,w1,1,,,,0.0,28
category_1,3427,w2,2,,,,0.0,36
category_1,3427,w3,3,,,,0.0,42
category_1,3427,w4,4,,,,0.0,52
category_1,3427,w1,5,,,,0.0,40
category_1,3427,w2,6,,,,0.0,20
category_1,3427,w3,7,,,,0.0,51
category_1,3427,w4,8,,,,0.0,35
category_1,3427,w1,9,,,,0.0,63
category_1,3427,w2,10,,,,0.0,48
category_1,3427,w3,11,,,,0.0,41
category_1,3427,w4,12,,,,0.0,78
category_1,3427,w1,13,,,,0.0,53
category_1,3427,w2,14,,,,0.0,25
category_1,3427,w3,15,,,,0.0,76
category_1,3427,w4,16,,,,0.0,34
category_1,3427,w1,17,,,,0.0,22
category_1,3427,w2,18,,,,0.0,47
category_1,3427,w3,19,,,,0.0,44
category_1,3427,w4,20,,,,0.0,18
category_3,7666,w1,1,0.2,32.0,40.0,1.0,141
category_3,7666,w2,2,0.2,32.0,40.0,1.0,140
category_3,7666,w3,3,0.3,28.0,40.0,1.0,220
category_3,7666,w4,4,0.2,32.0,40.0,1.0,174
category_3,7666,w1,5,,,,0.0,14
category_3,7666,w2,6,,,,0.0,12
category_3,7666,w3,7,,,,0.0,7
category_3,7666,w4,8,,,,0.0,48
category_3,7666,w1,9,0.2,32.0,40.0,1.0,94
category_3,7666,w2,10,0.2,32.0,40.0,1.0,120
category_3,7666,w3,11,0.2,32.0,40.0,1.0,220
category_3,7666,w4,12,0.2,32.0,40.0,1.0,132
category_3,7666,w1,13,0.2,32.0,40.0,1.0,113
category_3,7666,w2,14,,,,0.0,64
category_3,7666,w3,15,,,,0.0,14
category_3,7666,w4,16,,,,0.0,28
category_3,7666,w1,17,,,,0.0,29
category_3,7666,w2,18,,,,0.0,61
category_3,7666,w3,19,,,,0.0,41
category_3,7666,w4,20,,,,0.0,36
category_2,9925,w1,1,,,,0.0,7
category_2,9925,w2,2,,,,0.0,12
category_2,9925,w3,3,,,,0.0,12
category_2,9925,w4,4,,,,0.0,5
category_2,9925,w1,5,,,,0.0,12
category_2,9925,w2,6,,,,0.0,10
category_2,9925,w3,7,,,,0.0,9
category_2,9925,w4,8,,,,0.0,17
category_2,9925,w1,9,,,,0.0,12
category_2,9925,w2,10,,,,0.0,15
category_2,9925,w3,11,,,,0.0,13
category_2,9925,w4,12,,,,0.0,19
category_2,9925,w1,13,,,,0.0,20
category_2,9925,w2,14,,,,0.0,8
category_2,9925,w3,15,,,,0.0,11
category_2,9925,w4,16,,,,0.0,14
category_2,9925,w1,17,,,,0.0,12
category_2,9925,w2,18,,,,0.0,5
category_2,9925,w3,19,,,,0.0,23
category_2,9925,w4,20,,,,0.0,10
category_3,16936,w1,1,,,,0.0,31
category_3,16936,w2,2,,,,0.0,27
category_3,16936,w3,3,,,,0.0,31
category_3,16936,w4,4,,,,0.0,33
category_3,16936,w1,5,,,,0.0,27
category_3,16936,w2,6,,,,0.0,23
category_3,16936,w3,7,,,,0.0,15
